,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
36,dydx,dydx,dYdX,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1628009360,5.32,455361184,155,5338925650.0,116297883.0,5.75,5.31,-0.435429995764,-7.57169,-38669021.11394405,-7.82726,85290789.52565937,1000000000.0,1000000000.0,27.86,-80.77422,2021-09-30T01:23:43.570Z,4.51,18.87893,2022-02-24T07:34:44.718Z,,2022-03-04T15:14:29.098Z
37,rocket-pool,rpl,Rocket Pool,https://assets.coingecko.com/coins/images/2090/large/rocket_pool_%28RPL%29.png?1637662441,27.67,451571335,156,501999995.0,263928.0,28.92,27.66,-1.2477172225,-4.31499,-18302131.78416878,-3.89512,16191801.0,18000000.0,18000000.0,59.46,-53.27305,2021-11-09T04:03:31.003Z,0.00884718,313919.80935,2018-08-28T00:00:00.000Z,,2022-03-04T15:13:54.311Z
38,olympus,ohm,Olympus,https://assets.coingecko.com/coins/images/14483/large/token_OHM_%281%29.png?1628311611,36.49,444018687,158,477056384.0,19005618.0,39.51,36.24,-3.016809632766,-7.63649,-34514541.111183465,-7.21257,12099465.731485695,12999739.7509017,12999739.7509017,1415.26,-97.39735,2021-04-25T00:00:00.000Z,36.28,1.52455,2022-03-04T14:49:56.280Z,,2022-03-04T15:14:48.721Z
39,0x,zrx,0x,https://assets.coingecko.com/coins/images/863/large/0x.png?1547034672,0.511154,435336413,162,513673675.0,47488711.0,0.541569,0.510844,-0.030415503899,-5.61618,-26859607.18845892,-5.8113,847496054.8122635,1000000000.0,1000000000.0,2.5,-79.46073,2018-01-13T00:00:00.000Z,0.120667,325.01687,2020-03-13T02:27:49.563Z,"{'times': 9.649038465419974, 'currency': 'usd', 'percentage': 964.9038465419973}",2022-03-04T15:14:38.808Z
40,republic-protocol,ren,REN,https://assets.coingecko.com/coins/images/3139/large/REN.png?1589985807,0.424606,427998953,164,427998953.0,121149297.0,0.430811,0.382954,0.03044413,7.72376,35425438.0,9.0239,1000000000.0,1000000000.0,1000000000.0,1.8,-76.26217,2021-02-20T00:17:32.664Z,0.01548,2659.98418,2019-02-25T00:00:00.000Z,"{'times': 1.7128290152971448, 'currency': 'eth', 'percentage': 171.28290152971448}",2022-03-04T15:14:20.702Z
41,keep-network,keep,Keep Network,https://assets.coingecko.com/coins/images/3373/large/IuNzUb5b_400x400.jpg?1589526336,0.762547,422281060,166,768179985.0,4397709.0,0.828479,0.719041,-0.06593197847,-7.9582,-34553555.66908622,-7.56369,549716300.2685891,1000000000.0,1000000000.0,6.1,-87.40729,2020-05-15T00:00:00.000Z,0.177138,333.6612,2020-11-17T03:49:09.210Z,,2022-03-04T15:14:22.067Z
42,spell-token,spell,Spell Token,https://assets.coingecko.com/coins/images/15861/large/abracadabra-3.png?1622544862,0.00426162,359681659,173,900654159.0,43918981.0,0.00458415,0.00426046,-0.000290010722,-6.37157,-25999844.967971683,-6.74127,83864763856.7263,196008739620.0,210000000000.0,0.03506357,-87.76401,2021-11-02T08:44:42.429Z,0.00029812,1339.12273,2021-08-05T13:00:27.077Z,,2022-03-04T15:14:53.017Z
43,defi-kingdoms,jewel,DeFi Kingdoms,https://assets.coingecko.com/coins/images/18570/large/fAisLIV.png?1632449282,5.01,350773069,177,2488740176.0,17575376.0,5.35,4.97,-0.340079569273,-6.3536,-25921556.571057677,-6.88132,70472014.8228732,343852348.076294,500000000.0,22.52,-77.81826,2022-01-05T08:03:35.714Z,1.23,307.02699,2021-09-24T10:00:29.738Z,,2022-03-04T15:13:42.461Z
44,just,jst,JUST,https://assets.coingecko.com/coins/images/11095/large/JUST.jpg?1588175394,0.04699681,345086987,180,467967436.0,65838703.0,0.04822249,0.04625982,-0.001225675392,-2.54171,-8764125.309327006,-2.47678,7300425000.0,9900000000.0,9900000000.0,0.193254,-75.54487,2021-04-05T04:34:23.454Z,0.00476275,892.29594,2020-05-09T06:08:54.872Z,,2022-03-04T15:14:56.014Z
45,api3,api3,API3,https://assets.coingecko.com/coins/images/13256/large/api3.jpg?1606751424,6.68,328063963,183,,78200636.0,7.41,6.69,-0.669932974785,-9.11182,-36070533.26129371,-9.90583,48887714.8655587,111391168.654747,,10.3,-34.74036,2021-04-07T06:54:35.507Z,1.045,543.3461,2020-11-30T17:06:42.635Z,,2022-03-04T15:14:03.927Z
46,tokemak,toke,Tokemak,https://assets.coingecko.com/coins/images/17495/large/tokemak-avatar-200px-black.png?1628131614,27.21,302655756,195,2736109002.0,1761421.0,29.59,27.22,-2.38064580891,-8.04457,98995216.0,48.60795,11061538.703876408,100000000.0,100000000.0,79.02,-65.3738,2021-11-04T00:35:29.799Z,8.38,226.45399,2021-08-07T09:59:23.245Z,,2022-03-04T15:13:29.262Z
47,injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1628233237,5.83,284208354,200,584123145.0,114939890.0,6.45,5.59,0.069269,1.20317,3100919.0,1.10311,48655554.33,100000000.0,100000000.0,24.89,-76.53169,2021-04-30T00:33:02.969Z,0.657401,788.53423,2020-11-03T16:19:30.576Z,,2022-03-04T15:14:44.030Z
48,perpetual-protocol,perp,Perpetual Protocol,https://assets.coingecko.com/coins/images/12381/large/60d18e06844a844ad75901a9_mark_only_03.png?1628674771,4.2,274805134,207,634041559.0,9113077.0,4.34,4.14,-0.118055772734,-2.732,-7713278.884114683,-2.73019,65012725.91986427,150000000.0,150000000.0,24.4,-82.67724,2021-08-30T15:06:09.177Z,0.669544,531.317,2020-11-19T05:18:13.592Z,,2022-03-04T15:14:58.523Z
49,kyber-network-crystal,knc,Kyber Network Crystal,https://assets.coingecko.com/coins/images/14899/large/RwdVsGcw_400x400.jpg?1618923851,2.62,269495516,209,594073742.0,42670353.0,2.87,2.61,-0.13358303529,-4.85245,-15013835.970753372,-5.2771,102522603.24294408,191871702.588046,226000000.0,2.93,-10.0865,2021-04-22T10:10:23.299Z,1.11,137.57295,2021-06-22T14:01:23.365Z,,2022-03-04T15:14:50.076Z
