coin,market_cap_percentage,timestamp,date,time
avax,1.0639281193768846,2022-03-01 07:33:12,2022-03-01,07:33:12
btc,41.21530171803612,2022-03-01 07:43:15,2022-03-01,07:43:15
eth,17.51097348423504,2022-03-01 07:43:15,2022-03-01,07:43:15
usdt,3.981908614707754,2022-03-01 07:43:15,2022-03-01,07:43:15
bnb,3.457083330185571,2022-03-01 07:43:15,2022-03-01,07:43:15
usdc,2.6765146841909497,2022-03-01 07:43:15,2022-03-01,07:43:15
xrp,1.8510665233594048,2022-03-01 07:43:15,2022-03-01,07:43:15
luna,1.669787863869628,2022-03-01 07:43:15,2022-03-01,07:43:15
ada,1.5507969546202849,2022-03-01 07:43:15,2022-03-01,07:43:15
sol,1.549503736136754,2022-03-01 07:43:15,2022-03-01,07:43:15
avax,1.0628629382515984,2022-03-01 07:43:15,2022-03-01,07:43:15
btc,41.20068516430682,2022-03-01 07:53:18,2022-03-01,07:53:18
eth,17.51322413963939,2022-03-01 07:53:18,2022-03-01,07:53:18
usdt,3.981899614937624,2022-03-01 07:53:18,2022-03-01,07:53:18
bnb,3.4608703703443884,2022-03-01 07:53:18,2022-03-01,07:53:18
usdc,2.6777053019834645,2022-03-01 07:53:18,2022-03-01,07:53:18
xrp,1.851932522294046,2022-03-01 07:53:18,2022-03-01,07:53:18
luna,1.673122675566701,2022-03-01 07:53:18,2022-03-01,07:53:18
ada,1.55044592801655,2022-03-01 07:53:18,2022-03-01,07:53:18
sol,1.54957035552945,2022-03-01 07:53:18,2022-03-01,07:53:18
avax,1.0642528179407225,2022-03-01 07:53:18,2022-03-01,07:53:18
btc,41.20207151395893,2022-03-01 08:13:26,2022-03-01,08:13:26
eth,17.49852455945114,2022-03-01 08:13:26,2022-03-01,08:13:26
usdt,3.975304089853244,2022-03-01 08:13:26,2022-03-01,08:13:26
bnb,3.4705345810268766,2022-03-01 08:13:26,2022-03-01,08:13:26
usdc,2.6698488699563305,2022-03-01 08:13:26,2022-03-01,08:13:26
xrp,1.8513398646412087,2022-03-01 08:13:26,2022-03-01,08:13:26
luna,1.6743132362056072,2022-03-01 08:13:26,2022-03-01,08:13:26
sol,1.5552347050457929,2022-03-01 08:13:26,2022-03-01,08:13:26
ada,1.5506065755892913,2022-03-01 08:13:26,2022-03-01,08:13:26
avax,1.066727878182248,2022-03-01 08:13:26,2022-03-01,08:13:26
btc,41.19852813103558,2022-03-01 08:23:29,2022-03-01,08:23:29
eth,17.48692933295701,2022-03-01 08:23:29,2022-03-01,08:23:29
usdt,3.976202656790524,2022-03-01 08:23:29,2022-03-01,08:23:29
bnb,3.4782156686576298,2022-03-01 08:23:29,2022-03-01,08:23:29
usdc,2.671440512025653,2022-03-01 08:23:29,2022-03-01,08:23:29
xrp,1.8489903795011189,2022-03-01 08:23:29,2022-03-01,08:23:29
luna,1.6803267265512911,2022-03-01 08:23:29,2022-03-01,08:23:29
sol,1.5530962349450128,2022-03-01 08:23:29,2022-03-01,08:23:29
ada,1.5470424874710504,2022-03-01 08:23:29,2022-03-01,08:23:29
avax,1.0640146242291055,2022-03-01 08:23:29,2022-03-01,08:23:29
btc,41.213734035091406,2022-03-01 08:33:31,2022-03-01,08:33:31
eth,17.48235378208412,2022-03-01 08:33:31,2022-03-01,08:33:31
usdt,3.976559520393732,2022-03-01 08:33:31,2022-03-01,08:33:31
bnb,3.4770629986848887,2022-03-01 08:33:31,2022-03-01,08:33:31
usdc,2.6711502176119977,2022-03-01 08:33:31,2022-03-01,08:33:31
xrp,1.8498874800757927,2022-03-01 08:33:31,2022-03-01,08:33:31
luna,1.6743154751328495,2022-03-01 08:33:31,2022-03-01,08:33:31
sol,1.5491999186889815,2022-03-01 08:33:31,2022-03-01,08:33:31
ada,1.5459193570373553,2022-03-01 08:33:31,2022-03-01,08:33:31
avax,1.069451813069996,2022-03-01 08:33:31,2022-03-01,08:33:31
btc,41.21525949158168,2022-03-01 08:43:34,2022-03-01,08:43:34
eth,17.48762178268918,2022-03-01 08:43:34,2022-03-01,08:43:34
usdt,3.978192118573076,2022-03-01 08:43:34,2022-03-01,08:43:34
