active_cryptocurrencies,markets,total_market_cap_usd,timestamp,date,time
12915,762,2034262358893.759,2022-03-02 05:09:32,2022-03-02,05:09:32
12915,762,2035352584900.8923,2022-03-02 05:19:35,2022-03-02,05:19:35
12917,762,2033043645050.2244,2022-03-02 05:29:40,2022-03-02,05:29:40
12917,762,2030137685558.0208,2022-03-02 05:39:42,2022-03-02,05:39:42
12920,762,2035068068256.744,2022-03-02 05:59:47,2022-03-02,05:59:47
12921,762,2034522079233.9668,2022-03-02 06:09:51,2022-03-02,06:09:51
12921,762,2032996909841.3213,2022-03-02 06:19:54,2022-03-02,06:19:54
12922,762,2024295035832.1128,2022-03-02 06:39:59,2022-03-02,06:39:59
12926,762,2023486450658.8203,2022-03-02 06:50:07,2022-03-02,06:50:07
12927,762,2020298191822.0896,2022-03-02 07:00:21,2022-03-02,07:00:21
12928,762,2016111085467.3203,2022-03-02 07:10:24,2022-03-02,07:10:24
12932,762,2010568402738.6853,2022-03-02 07:30:32,2022-03-02,07:30:32
12934,762,2015299221067.664,2022-03-02 07:40:36,2022-03-02,07:40:36
12936,762,2018772639219.5305,2022-03-02 07:50:40,2022-03-02,07:50:40
12936,762,2013846104318.507,2022-03-02 08:10:47,2022-03-02,08:10:47
12936,762,2022559954873.0269,2022-03-02 08:20:49,2022-03-02,08:20:49
12937,762,2029375208836.6367,2022-03-02 08:30:51,2022-03-02,08:30:51
12938,762,2026836582895.381,2022-03-02 08:50:56,2022-03-02,08:50:56
12938,762,2016737730205.0728,2022-03-02 09:00:59,2022-03-02,09:00:59
12938,762,2017886055816.108,2022-03-02 09:11:03,2022-03-02,09:11:03
12938,762,2021284146756.296,2022-03-02 09:21:06,2022-03-02,09:21:06
12940,762,2026413810730.4,2022-03-02 09:41:12,2022-03-02,09:41:12
12938,762,2025905476482.0496,2022-03-02 09:51:19,2022-03-02,09:51:19
12938,762,2025079517850.9128,2022-03-02 10:01:21,2022-03-02,10:01:21
12938,762,2030864431084.139,2022-03-02 10:21:27,2022-03-02,10:21:27
12938,762,2033908862240.6755,2022-03-02 10:31:29,2022-03-02,10:31:29
12938,762,2037820986679.904,2022-03-02 10:41:32,2022-03-02,10:41:32
12938,762,2037333669123.999,2022-03-02 10:51:36,2022-03-02,10:51:36
12938,762,2032066733354.0388,2022-03-02 11:11:41,2022-03-02,11:11:41
12938,762,2033830642483.556,2022-03-02 11:21:44,2022-03-02,11:21:44
12938,762,2033245413511.2336,2022-03-02 11:31:47,2022-03-02,11:31:47
12938,762,2037051438353.84,2022-03-02 11:51:53,2022-03-02,11:51:53
12938,762,2034694556456.1824,2022-03-02 12:01:57,2022-03-02,12:01:57
12938,762,2038022877300.3943,2022-03-02 12:12:00,2022-03-02,12:12:00
12938,762,2026214952695.233,2022-03-02 12:32:17,2022-03-02,12:32:17
12938,762,2024983254522.8103,2022-03-02 12:42:22,2022-03-02,12:42:22
12938,762,2029426682250.2395,2022-03-02 12:52:25,2022-03-02,12:52:25
12938,762,2029037582078.1873,2022-03-02 13:02:29,2022-03-02,13:02:29
